job_title,job_date,job_desc,job_tasks,comp_name,comp_type,comp_size,eco_activity,qualifications,region,city,benefits,contract,positions,exper,gender,salary_sep,benefits_sep,occupied_positions,total_positions,experience (Years),job_date_gregorian,city_corrected,qualifications_corrected
محاسب,27/05/1444,إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.,"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",شركة مقر العالم للسفريات,خاص,متوسطة فئة أ,أنشطة وكالات السياحة والسفر,"['Language data', 'اللغة الانجليزية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,0 Years,both,5000.0,غير محدد,0,1,0,2022-12-21,Riyadh,اللغة الانجليزية: محترف
بائع,27/05/1444,بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.,"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة عالم الكهرباء للمقاولات,خاص,متوسطة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,"['Language data', 'الانجليزية', 'متوسط']",المنطقة الشرقية,AD DAMMAM...,"['Salary', '5000.0']",دوام كامل,0 / 3,0 Years,both,5000.0,غير محدد,0,3,0,2022-12-21,Dammam,الانجليزية: متوسط
أخصائي عمليات موارد بشرية,27/05/1444,تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحفظها.,"['   تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام موظفي الفروع وإجازاتهم على اختلاف أنواعها وتعديل النماذج عند الحاجة بالإضافة إلى تطبيق نظام مراقبة الحضور والتأكد من التزامهم بأوقات الدوام الرسمي.', '  تطبيق سياسات وإجراءات الإجازات السنوية والمرضية والطارئة وغيرها من الإجازات المحددة في سياسة العطل والإجازات المعتمدة وتطبيق إجراءات الترقيات ,الإعارة وانتهاء الخدمة وتسجيل كافة وقوعات الموظفين وفقا للأنظمة والإجراءات المعتمدة.', '  التعامل مع شكأوى وملاحظات وطلبات واستفسارات الموظفين بطريقة مهنية ورفع المشاكل حال وجودها إلى مدير الإدارة بشكل فعال', '  تحديث المعلومات المتعلقة بالموظفين وتزويدها لفريق خدمات الموظفين من خلال تسجيل وتوثيق جميع المعلومات المتعلقة بموظفي الجهة كالترقيات والدورات التدريبية والأمور المتعلقة بالرواتب والامتيازات', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بعمليات الموارد البشرية وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركه دار السلام,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,"['Language data', 'الانجليزيه', 'محترف']",الرياض,ATH THUMA...,"['Salary', '4000.0']",دوام كامل,0 / 2,2 Years,both,4000.0,غير محدد,0,2,2,2022-12-21,Al-Thumamah,الانجليزيه: محترف
ميكانيكي سيارات,27/05/1444,تشخيص أعطال السيارات وإصلاحها وتنفيذ برامج الصيانية الوقائية للمعدات والأجهزة بحسب أدلة الصيانة لها والتعليمات وتطبيق إجراءات وتعليمات السلامة والصحة المهنية,"['   فحص أداء المعدّات الكهربائية والميكانيكية للسيارات ومعايرتها بعد تركيبها، وضمان التقيد بالمخططات والمواصفات', '  إجراء الفحوصات الروتينية لقطع الغيار للتأكد من خلوها من الأضرار والتلفيات الخطرة، و تركيب نظم السيارات وتصليحها', '  التحقيق في الأعطال وفحص الأجزاء وفحص المعدات المعطوبة، وتشخيص المكونات المعيبة وتصليحها أو استبدالها، ومتابعة الأعمال المنجزة', '  تركيب المحركات والمعدات الميكانيكية والكهربائية للسيارات وصيانتها وتصلحيها', '  ', '  ']",مؤسسة لمكو لغيار الزيوت,خاص,صغيرة فئة ب,غير معروف,"['Skill data', 'صيانة السيارات وتقييم الاعطال', 'محترف']",المنطقة الشرقية,AL HUFUF...,"['Salary', '5000.0']",دوام كامل,0 / 10,0 Years,M,5000.0,غير محدد,0,10,0,2022-12-21,Al-Hofuf,صيانة السيارات وتقييم الاعطال: محترف
محاسب,27/05/1444,إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.,"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",مؤسسة فكرة اليمامة للمقاولات,خاص,كبيرة,الإنشاءات العامة للمباني السكنية,"['Skill data', 'تحمل ضغط العمل', 'محترف', 'Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'التسجيل في هيئة المحاسبين السعوديين', 'مفيد']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,0 Years,both,5000.0,غير محدد,0,1,0,2022-12-21,Riyadh,تحمل ضغط العمل: محترف، الانجليزية: متوسط، التسجيل في هيئة المحاسبين السعوديين: مفيد
مراقب كاميرات أمنية,27/05/1444,الإشراف على عمليات كاميرات المراقبة الأمنية، وتشغيل أنظمةالمراقبة ، والتعامل مع حالات الطوارئ الأمنية والاستجابة لها على مدار الساعة,"['   الإشراف على عمليات كاميرات المراقبة، والتعامل مع حالات الإنذار وطوارئ الحرائق والتحقيق فيها، وضمان الاستجابة لتلك الحالات على مدار الساعة', '  تشغيل أنظمة الإنذار وكاميرات المراقبة ومراقبتها وصيانتها، وتنزيل التسجيلات وإدارتها لاستخدامها في التحقيقات المستقبلية، وضمان الامتثال لقواعد ولوائح خصوصية البيانات', '  التحقيق في الحالات الطارئة وانتهاكات السياسات والإجراءات الأمنية', '  اتباع السياسات والإجراءات التي تتوافق مع القوانين واللوائح الامنية وإبلاغ الإدارة بالمشكلات عند حدوثها', '  رفع التقارير المتعلقة بالأسباب والنتائج للإدارة، والتوصية بمسار العمل', '  ']",مطاعم تراث الدمشقية للوجبات السريعة,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'اجادة الحاسب والتقنية ', 'متوسط', 'Language data', 'اللغة الانجليزية ', 'مبتدئ']",الرياض,AR RIYADH...,"['Salary', '4500.0']",عمل عن بعد,0 / 1,0 Years,both,4500.0,غير محدد,0,1,0,2022-12-21,Riyadh,اجادة الحاسب والتقنية: متوسط، اللغة الانجليزية: مبتدئ
سكرتير تنفيذي,27/05/1444,تنظيم المواعيد وإعداد المذكرات وإجراء المراسلات وحضور الاجتماعات وتحرير المحاض، وإعداد وتقديم تقارير العمل.,"['   تنظيم مواعيد المدير/الرئيس وتذكيره بها، والتعامل مع الاستفسارات والرد عليها وإيصال البريد والمراسلات للمدير/الرئيس.', '  إعداد المذكرات الدورية والمتعلقة بعمل الوحدات التنظيمية الداخلية، وإجراء المراسلات الاعتيادية مع الجهات الخارجية وتوقيعها من المديرالرئيس وتوزيعها.', '  حضور الاجتماعات وتسجيل محاضر الاجتماعات وتحريرها.', '  حفظ الوثائق والملفات المتعلقة بأعمال المدير/الرئيس.', '  إعداد وتقديم تقارير العمل وتوثيقها وحفظها.', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '6000.0']",دوام كامل,0 / 2,4 Years,F,6000.0,غير محدد,0,2,4,2022-12-21,Riyadh,لغة انجليزية: محترف
مدير مكتب,27/05/1444,الإشراف المباشرعلى أنشطة إدارة وتخطيط وتنظيم أعمال الإدارة التي يشرف عليها، ومتابعة كافة العمليات الإدارية واللوجستية المطلوبة، وضمان توافر كافة الموارد التقنية والبشرية التي تضمن سير عمليات المكتب بأكبر كفاءة وفعالية ممكنة.,"['   إدارة وتوجيه عمليات وإجراءات تنسيق اجتماعات ولقاءات المسؤول وإدارة وتنسيق الاتصالات والمراسلات بينه وبين مختلف الجهات الداخلية والخارجية والتأكد من فعاليتها وسلاستها.', '  متابعة عمليات استقبال زوار المسؤول والرد على استفسارتهم والإشراف على عمليات الرد على المكالمات الهاتفية ومراجعة المراسلات الواردة وتحضير الردود المناسبة، وإعادة توجيه المسائل المتخصصة لأصحاب الاختصاص في الجهة ومتابعتها لضمان إنجازها بفعالية.', '  ضمان وجود قنوات تواصل واتصال فعالة مع مختلف الجهات المعنية بهدف متابعة القرارات والتعليمات الصادرة عن مكتب المسؤول وضمان الحصول على أية معلومات أو بيانات متعلقة.', '  الإشراف على عمليات إدارة وحفظ وأرشفة جميع القرارات والخطابات والمكاتبات الواردة أو الصادرة عن مكتب المسؤول بالتنسيق مع كافة الجهات المعنية.', '  متابعة وتقييم أداء الموظفين في المكتب وتحديد احتياجاتهم التدريبية والتطويرية وضمان توافر كافة المتطلبات اللازمة لقيامهم بعملهم على أكمل وجه، ورفع التقارير الدورية للرئيس المباشر.', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف']",الرياض,AR RIYADH...,"['Salary', '8000.0']",دوام كامل,0 / 1,4 Years,F,8000.0,غير محدد,0,1,4,2022-12-21,Riyadh,لغة انجليزية: محترف
أخصائي إدارة مشاريع,27/05/1444,تحليل عناصر وفعاليات المشروع ووضع الخطط والبرامج الزمنية ومتابعة تنفيذها ووضع برنامج التدفق النقدي وتحليل المخاطر المتوقعة ومراجعة وتعديل مراحل التعديل وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال إدارة المشاريع عرضها وحفظها,"['   تحليل عناصر وفعاليات المشروع وارتباطها وترتيبها ودراسة قيمة المشروع وحجمه وإعداد برنامج زمني وترتيب الإجراءات', '  إعداد الموارد المادية والبشرية اللازمة لتنفيذ المشروع ومتابعة توفيرها وبالتوقيت المناسب', '  إعداد جدول تدفق نقدي متناسب مع تسلسل تنفيذ الفاعليات', '  مراجعة التنفيذ والتقدم الفعلي ومقارنته بالبرنامج المخطط وإعداد البرامج المعدلة والمنقحة، وتطوير أساليب وتقنيات العمل باستخدام التقنيات الحديثة', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بإدارة المشاريع وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف', 'Professional certificate \\ License data', 'PMP', 'ضروري']",الرياض,AR RIYADH...,"['Salary', '10000.0']",دوام كامل,0 / 3,2 Years,F,10000.0,غير محدد,0,3,2,2022-12-21,Riyadh,لغة انجليزية: محترف
مصمم جرافيك,26/05/1444,تطوير الأفكار الإبداعية والمفاهيم لتوصيل الرسالة المطلوبة بوسائل الجرافيك، ووضع المخططات العامة وتصميم الإنتاج للإعلانات والمجلات وتقارير الشركات وغيرها من وسائل الإعلام المنشورة.,"['   التنسيق مع مالك التصميم (عملاء محليون أو خارجيون) لفهم الرسالة المراد نقلها، وتحديد المتطلبات، والاتفاق على المنتج النهائي.', '  تطوير مفاهيم التصميم العامة لتناسب احتياجات العميل، وبلورة أسلوب يتناسب مع الصورة والوضع المرغوبين.', '  تقديم المشورة الفنية بما يتناسب مع مفاهيم التصميم العامة، وتقديم المشورة بشأن المتطلبات الأسلوبية، مثل الألوان والصور ونمط النص والمخطط، لتوصيل الرسالة.', '  تسليم المنتج النهائي للعميل وجمع الملاحظات وإدراجها.', '  إعداد الوثائق والتقارير وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 2,4 Years,F,5000.0,غير محدد,0,2,4,2022-12-20,Riyadh,لغة انجليزية: متوسط
